Offenses Charged,TOTAL,White or Hispanic,Black or African American,American Indian or Alaskan Native,Asian,Native Hawaiian or Other Pacific Islander
TOTAL,100,69.7,26.6,2.1,1.2,0.3
Murder and nonnegligent manslaughter,100,45.9,51.1,1.2,1.5,0.3
Forcible rape,100,68,28.2,1.7,1.6,0.5
Robbery,100,44.4,53.5,0.8,0.9,0.4
Aggravated assault,100,64,32.1,2,1.6,0.3
Burglary,100,68.1,29.5,1,1.2,0.2
Larceny-theft,100,69.6,27.4,1.6,1.2,0.2
Motor vehicle theft,100,67.2,29.4,1.5,1.3,0.6
Arson,100,73.2,22.5,2.6,1.3,0.4
Violent crime,100,60.1,36.4,1.8,1.5,0.3
Property crime,100,69.2,27.8,1.5,1.2,0.2
Other assaults,100,65.9,30.8,1.8,1.2,0.3
Forgery and counterfeiting,100,64.6,33,0.7,1.5,0.2
Fraud,100,66.6,31,1.1,1.2,0.1
Embezzlement,100,60.6,36.8,0.7,1.7,0.2
"Stolen property; buying, receiving, possessing",100,65.5,32,1.1,1.2,0.2
Vandalism,100,69.5,27.2,1.9,1.1,0.2
"Weapons; carrying, possessing, etc.",100,57.7,40,1,1.1,0.2
Prostitution and commercialized vice,100,54.5,39.9,0.4,5.1,0.2
Sex offenses (except forcible rape and prostitution),100,73.1,23.1,1.6,1.9,0.3
Drug abuse violations,100,70.7,27,1,1.1,0.2
Gambling,100,36,56.4,0.6,6.4,0.6
Offenses against the family and children,100,65.8,29.8,3.6,0.7,0.1
Driving under the influence,100,82.6,13.2,1.9,2,0.3
Liquor laws,100,79.8,13.8,4.9,1.4,0.2
Drunkenness,100,76.4,14.3,8.2,1,0.1
Disorderly conduct,100,64,31,4,0.8,0.2
Vagrancy,100,68.8,26.7,3.5,1,0.1
All other offenses (except traffic),100,68.6,28,2,1,0.4
Suspicion,100,44.1,27.4,27,1,0.5
Curfew and loitering law violations,100,52.8,44.7,1.2,1,0.3
